A,A556-KSCHL,SOrg,DC,A556-KNUMA,Agreement Description,MG5,Material group 5 Description,A556-DATAB,A556-DATBI,  % * 10,Licensor #,Licensor Name
V,ZRSA,SYUS,1,859,Royalty % Licensr1,SAB,LTB-SABATIER-ROUSSELON FRERES,4/1/2015,5/31/2015,-0.5,500044,Sabatier
V,ZRSA,SYUS,1,859,Royalty % Licensr1,228,CT SABATIER,4/1/2015,5/31/2015,-0.5,500044,Sabatier
V,ZRSA,SYUS,1,859,Royalty % Licensr1,SA1,SABATIER DISHRACKS -2%,4/1/2015,12/31/9999,-50,500044,Sabatier
V,ZRSA,SYUS,1,860,Royalty % Licensr1,SFS,SAL FIOLA UNIVERSAL SHELF ORGANIZER,4/1/2015,12/31/9999,-75,500045,Sal Fiola
V,ZRSA,SYUS,1,860,Royalty % Licensr1,SFI,Sal Fiola,4/1/2015,12/31/9999,-75,500045,Sal Fiola
V,ZRSA,SYUS,1,860,Royalty % Licensr1,SF2,SAL FIOLA DOUBLE SIDED NAPKIN HOLDER,4/1/2015,12/31/9999,-75,500045,Sal Fiola
V,ZRSA,SYUS,1,862,Royalty % Licensr1,SOH,SOHO Spice,4/1/2015,12/31/9999,-50,500047,SOHO Spices  Inc.
V,ZRSA,SYUS,1,865,Royalty % Licensr1,TA5,Thaddeus Alemao  - not KA,4/1/2015,12/31/9999,-75,500050,Thaddeus Alemao
V,ZRSA,SYUS,1,865,Royalty % Licensr1,TA3,Thaddeus Alemao  - KA,4/1/2015,12/31/9999,-75,500050,Thaddeus Alemao
V,ZRSA,SYUS,1,865,Royalty % Licensr1,TA2,DO NOT USE - USE TA5,4/1/2015,12/31/9999,-75,500050,Thaddeus Alemao
V,ZRSA,SYUS,1,865,Royalty % Licensr1,PTC,PEDRINI ODOR ABSORB SPLAT SCREEN COSTCO,4/1/2015,12/31/9999,-75,500050,Thaddeus Alemao
V,ZRSA,SYUS,1,865,Royalty % Licensr1,PTA,PEDRINI & THADEUS ALEMAO (ODOR ABSORB),4/1/2015,12/31/9999,-75,500050,Thaddeus Alemao
V,ZRSA,SYUS,1,867,Royalty % Licensr1,CCH,COFFEE CAPSULE HOLDER,4/1/2015,12/31/9999,-75,500052,Think up innovations
V,ZRSA,SYUS,1,869,Royalty % Licensr1,PC5,TRIDENT DESIGN (PITZO PIZZA CUTTER),4/1/2015,12/31/9999,-75,500054,Trident Design LLC
V,ZRSA,SYUS,1,869,Royalty % Licensr1,PC3,DO NOT USE - USE MG5 PC5,4/1/2015,12/31/9999,-75,500054,Trident Design LLC
V,ZRSA,SYUS,1,870,Royalty % Licensr1,SPM,DO NOT USE - USE MG5 SAP,4/1/2015,12/31/9999,-75,500055,TSB Sapna
V,ZRSA,SYUS,1,870,Royalty % Licensr1,SAP,TSB & Company Sapna,4/1/2015,12/31/9999,-75,500055,TSB Sapna
V,ZRSA,SYUS,1,871,Royalty % Licensr1,VPT,VASCONIA PERFECT TEARS - DO NOT USE,4/1/2015,12/31/9999,-75,500056,Grupo Vasconia
V,ZRSA,SYUS,1,871,Royalty % Licensr1,EKC,"Ekco, SAB (Vasconia)",4/1/2015,12/31/9999,-75,500056,Grupo Vasconia
V,ZRSA,SYUS,1,872,Royalty % Licensr1,WVR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,WVM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,WDR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,WDM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,WAV,LTB-WILD APPLE,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,WAM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,VJN,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,PSR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,PSM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,PEM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,PAR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,LIS,LISA AUDIT-WILD APPLE GRPHCS- EXPIRED,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,LIM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,AVM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,AVE,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,ATR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,872,Royalty % Licensr1,ATM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500057,Wild Apple Graphics
V,ZRSA,SYUS,1,873,Royalty % Licensr1,REO,REO BRAND (WORLD HUNGER YEAR),4/1/2015,12/31/9999,-75,500133,"WORLD HUNGER YEAR, INC"
V,ZRSA,SYUS,1,874,Royalty % Licensr1,YTZ,YUM TOOLS ZEELER PRODUCTS 8%,4/1/2015,12/31/9999,-75,500149,"Yum Tools, LLC"
V,ZRSA,SYUS,1,874,Royalty % Licensr1,YTR,YUM TOOLS ZEELER REPLACEMENT BLADE 10%,4/1/2015,12/31/9999,-75,500149,"Yum Tools, LLC"
V,ZRSA,SYUS,1,874,Royalty % Licensr1,YTO,YUM TOOLS OPEN HOLE CUT GRATE SYSTEM 5%,4/1/2015,12/31/9999,-75,500149,"Yum Tools, LLC"
V,ZRSA,SYUS,1,875,Royalty % Licensr1,TCP,TUNA CAN PRESS (ZACHARY HUGHS),4/1/2015,12/31/9999,-75,500058,Zachary Hughs
V,ZRSA,SYUS,1,879,Royalty % Licensr1,AMJ,GREEN SNOW - RETAIL,4/1/2015,12/31/9999,-50,500118,Angus McArthur & John Green
V,ZRSA,SYUS,1,890,Royalty % Licensr1,RAI,CHRISTOPHER RAIA,4/1/2015,12/31/9999,0,500101,Christopher Raia
V,ZRSA,SYUS,1,902,Royalty % Licensr1,HDR,HEATHER ALSTEAD DESIGN - RETAIL,4/1/2015,12/31/9999,-50,500121,Heather Alstead Design
V,ZRSA,SYUS,1,907,Royalty % Licensr1,JCD,J. CHILLIN DESIGN 5%,4/1/2015,12/31/9999,-50,500147,J. Chillin Design LLC
V,ZRSA,SYUS,1,911,Royalty % Licensr1,JH3,DO NOT USE - USE MG5 HOG,4/1/2015,12/31/9999,0,500088,Jason Higgins
V,ZRSA,SYUS,1,911,Royalty % Licensr1,JH2,DO NOT USE - USE MG5 HOG,4/1/2015,12/31/9999,0,500088,Jason Higgins
V,ZRSA,SYUS,1,911,Royalty % Licensr1,JH1,DO NOT USE - USE MG5 HOG,4/1/2015,12/31/9999,0,500088,Jason Higgins
V,ZRSA,SYUS,1,911,Royalty % Licensr1,HOG,JASON HIGGINS,4/1/2015,12/31/9999,0,500088,Jason Higgins
V,ZRSA,SYUS,1,911,Royalty % Licensr1,FFC,FRED JASON HIGGINS-FORTUNE CAKES CUPCAKE,4/1/2015,12/31/9999,0,500088,Jason Higgins
V,ZRSA,SYUS,1,914,Royalty % Licensr1,JSD,JETTE SCHEIB DESIGN 5%,4/1/2015,12/31/9999,-50,500148,Jette Scheib Design
V,ZRSA,SYUS,1,919,Royalty % Licensr1,JGD,JULIE GAILLARD DESIGN 8%,4/1/2015,12/31/9999,-50,500163,Julie Gaillard Design
V,ZRSA,SYUS,1,927,Royalty % Licensr1,RSR,R. SWINTON - TRAIN-STYLED CUPCAKE BAKING,4/1/2015,12/31/9999,-50,500127,Robert D Swinton
V,ZRSA,SYUS,1,930,Royalty % Licensr1,STO,SIBYLLE STOECKLI,4/1/2015,12/31/9999,-50,500106,Sibylle Stoeckli
V,ZRSA,SYUS,1,931,Royalty % Licensr1,SL1,STUDIO LEVIEN 5%,4/1/2015,12/31/9999,-50,500162,Studio Levien
V,ZRSA,SYUS,1,935,Royalty % Licensr1,SSS,THIRD PRIME (SKULL SHAPED SUGAR SHAKER),4/1/2015,12/31/9999,-50,500128,Third Prime  LLC
V,ZRSA,SYUS,1,935,Royalty % Licensr1,CDD,THIRD PRIME (CLEAN-DIRTY SIGN),4/1/2015,12/31/9999,-50,500128,Third Prime  LLC
V,ZRSA,SYUS,1,936,Royalty % Licensr1,WPP,DO NOT USE - USE MG5 WPH,4/1/2015,12/31/9999,-50,500129,Wishlist
V,ZRSA,SYUS,1,936,Royalty % Licensr1,WPH,WISHLIST - PEN AND PENCIL HOLDERS,4/1/2015,12/31/9999,-50,500129,Wishlist
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CRM,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CMH,LORILYNN SIMMS-HOL SCRIPT - MASS 3%,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CLR,LORILYNN SIMMS-EATWELL- RETAIL4%,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CLM,LORILYNN SIMMS-EATWELL - MASS 3%,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CLH,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CDS,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CDP,COURTNEY DAVIS,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CDM,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CCR,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CCM,LORILYNN SIMMS-HOL CHEER - MASS 3%,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,965,Royalty % Licensr1,DDD,Davidson Design & Development,4/1/2015,12/31/9999,-75,500010,Marilyn Davidson
V,ZRSA,SYUS,1,854,Royalty % Licensr1,PTA,PEDRINI & THADEUS ALEMAO (ODOR ABSORB),4/1/2015,12/31/9999,-75,500039,Pedrini PPL
V,ZRSA,SYCF,1,956,Royalty % Licensr1,WBC,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,LSC,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,956,Royalty % Licensr1,CRR,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500007,Courtney Davis  Inc
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GTM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYUS,1,814,Royalty % Licensr1,CGD,CUISINART 5% TRASHCAN,4/1/2015,12/31/9999,-75,500008,Conair
V,ZRSA,SYUS,1,847,Royalty % Licensr1,MM1,MONASHEE MKTG NO OTHER ROY DUE ON ITEM,4/1/2015,12/31/9999,-75,500035,Monashee
V,ZRSA,SYUS,1,859,Royalty % Licensr1,SMD,SABATIER BRAND WITH 2% MYDESIGN GROUP,6/1/2015,12/31/9999,-50,500044,Sabatier
V,ZRSA,SYUS,1,859,Royalty % Licensr1,SC1,SABATIER 2% COZZOLINO DESIGN,6/1/2015,12/31/9999,-50,500044,Sabatier
V,ZRSA,SYUS,1,859,Royalty % Licensr1,SAB,LTB-SABATIER-ROUSSELON FRERES,6/1/2015,12/31/9999,-50,500044,Sabatier
V,ZRSA,SYUS,1,859,Royalty % Licensr1,228,CT SABATIER,6/1/2015,12/31/9999,-50,500044,Sabatier
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GVM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GVC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GTR,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GTC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GRM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GRC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GOM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GOC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GMR,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GMD,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GMC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GKR,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GKM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GKC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GGR,LTB-GALAXY OF GRAPHICS,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GGL,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GCR,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GCM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,GCC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,974,Royalty % Licensr1,G0R,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500016,Galaxy of Graphics Licensing LLC
V,ZRSA,SYCF,1,976,Royalty % Licensr1,GGD,Gerald Gulotta Design,4/1/2015,12/31/9999,-75,500017,Gerald Gulotta
V,ZRSA,SYCF,1,977,Royalty % Licensr1,LYP,GERALD LYPKA,4/1/2015,12/31/9999,-75,500018,Gerald Lypka
V,ZRSA,SYCF,1,978,Royalty % Licensr1,GPD,Gerald Patrick Designs,4/1/2015,12/31/9999,-75,500019,Geral Patrick Design
V,ZRSA,SYCF,1,979,Royalty % Licensr1,PGF,GUY FIERI PERFECT TEAR,4/1/2015,12/31/9999,-100,500020,Knuckle Sandwich LLC ( Guy Fieri)
V,ZRSA,SYCF,1,979,Royalty % Licensr1,GUY,GUY FIERI KITCHENWARE,4/1/2015,12/31/9999,-100,500020,Knuckle Sandwich LLC ( Guy Fieri)
V,ZRSA,SYCF,1,979,Royalty % Licensr1,GUC,GUY FIERI-CUTLERY PRODUCTS,4/1/2015,12/31/9999,-100,500020,Knuckle Sandwich LLC ( Guy Fieri)
V,ZRSA,SYCF,1,979,Royalty % Licensr1,GBM,BARBEQUE ACCESSORY PRODUCTS,4/1/2015,12/31/9999,-100,500020,Knuckle Sandwich LLC ( Guy Fieri)
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GCM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GKM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GKC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GGR,LTB-GALAXY OF GRAPHICS,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GGL,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GCR,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GCC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,G0R,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,FID,DO NOT USE - USE MG5 DA5,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,DA5,PENNY LANE PUBLISHING,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,DA3,DO NOT USE - USE MG5 DA5,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,DA1,DO NOT USE - USE MG5 DA5,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CMH,LORILYNN SIMMS-HOL SCRIPT - MASS 3%,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CLR,LORILYNN SIMMS-EATWELL- RETAIL4%,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CLM,LORILYNN SIMMS-EATWELL - MASS 3%,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CLH,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CDS,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CDP,COURTNEY DAVIS,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CDM,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CCR,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,CCM,LORILYNN SIMMS-HOL CHEER - MASS 3%,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AVM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AVE,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,ATR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,ATM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AFR,DO NOT USE - USE MG5 AAP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AFM,DO NOT USE - USE MG5 AAP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AFC,DO NOT USE - USE MG5 AAP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AAP,LTB-ART LICENSING(FORMERLYAPPLEJACK ART),4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AAM,DO NOT USE - USE MG5 AAP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AAC,DO NOT USE - USE MG5 AAP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AA5,DO NOT USE - USE MG5 AA4,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,AA4,ANGELA ANDERSON,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,WVR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,WVM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,WDR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,WDM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,WAV,LTB-WILD APPLE,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,VJN,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,SPM,DO NOT USE - USE MG5 SAP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,SAP,TSB & Company Sapna,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,PSR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,PSM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,PEW,DO NOT USE - USE MG5 DA5,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,PEM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,PBD,Paul Brent Designer,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,PAR,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,LSC,DO NOT USE - USE MG5 CDP,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,LOM,LINDA MCDONALD-LICENSE EXPIRED,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,LIS,LISA AUDIT-WILD APPLE GRPHCS- EXPIRED,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,LIM,DO NOT USE - USE MG5 WAV,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,JGS,jennifer garant studios,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,JGM,DO NOT USE - USE MG5 JGS,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GVM,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
V,ZRSA,SYCF,1,981,Royalty % Licensr1,GVC,DO NOT USE - USE MG5 GGR,4/1/2015,12/31/9999,-75,500022,Harris Sachs
