Target March 2016 Kizmos Color End Cap,,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.50,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,,,,,,,Target March 2016 Kizmos Color End Cap,,$1.50,$1.50,$1.50,
updated 10.23.15 Replenishment,,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$1.99,$2.99,$3.99,$3.99,$3.99,$3.99,$3.99,$3.99,$2.99,$2.99,$2.99,$3.99,$3.99,$3.99,$2.99,$2.99,$2.99,$2.99,$2.99,$2.99,$2.99,$2.99,$2.99,,,,,,,,,,,,,,,,,updated 10.6.15 Replenishment,,$2.99,$2.99,$2.99,
 Quantity units/sku ,," 26,790 "," 21,432 "," 37,506 "," 16,074 "," 10,716 "," 21,432 "," 16,074 "," 10,716 "," 21,432 "," 16,074 "," 10,716 "," 21,432 "," 16,074 "," 16,074 "," 16,074 "," 32,148 "," 32,148 "," 32,148 "," 10,716 "," 10,716 "," 10,716 "," 42,864 "," 26,790 "," 21,432 "," 26,790 "," 37,506 "," 37,506 "," 42,864 "," 26,790 "," 26,790 "," 32,148 "," 21,432 "," 21,432 "," 26,790 ", -   , -   , -   ," 50,008 "," 50,008 ", -   ," 28,576 "," 28,576 ", -   ,,,,,,,,,,,,,,," 955,510 ",, Quantity units/sku ,, -   , -   , -   , -   
,," 1,801 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unit Qty/fill,26790,15,12,21,9,6,12,9,6,12,9,6,12,9,9,9,18,18,18,6,6,6,24,15,12,15,21,21,24,15,15,18,12,12,15,0,0,0,28,28,0,16,16,0,3,0,,,,,,,,,,,,,538,,Total Unit Qty/fill,,0,0,0,
Store count,,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,,Store count,,1800,1800,1800,
 Cost each ,, $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.00 , $1.25 , $1.25 , $1.25 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.50 , $1.25 , $1.25 , $1.25 , $1.25 , $1.25 , $1.25 ,,,,,,,,,,,,,,, $47.25 ,, Cost each ,, $1.50 , $1.50 , $1.50 ,
 Retail each ,, $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.00 , $2.50 , $2.50 , $2.50 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $3.00 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 ,,,, $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $2.50 , $109.50 ,, Retail each ,, $3.00 , $3.00 , $3.00 ,
PMU each,,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.85%,,PMU each,,50.00%,50.00%,50.00%,
Item #,,19928,19928,19928,19922,19922,19922,19935,19935,19935,TBD,TBD,TBD,19940,19940,19940,19939,19939,19939,20866,20866,20866,,20865,20865,20865,19927,19927,19927,,,,20907C,20907C,20907C,,,,,,,,,,,,,,,,,,,,,,,,,,Item #,,,,,
Description,,Turner Sky Blue,Turner  Bright Pink,Turner Black,Curvy Basting Spoon Sky Blue,Cury Basting Spoon Bright Pink,Curvy Basting Spoon Black,Slotted Spoon Sky Blue,Slotted Spoon Bright Pink,Slotted Spoon  Black,Salad Tongs Sky Blue,Salad Tongs Bright Pink,Salad Tongs Black,Spoonula Sky Blue,Spoonula Bright Pink,Spoonula Black,Spatula Sky Blue,Spatula Bright Pink,Spatula Black,Measuring Spoons Sky Blue,Measuring Spoons Bright Pink,Measuring Spoons Black,"Set of 4 Bag Clips: 2 black,1 pink, 1 sky blue",Measuring Cups Sky Blue,Measuring Cups Bright Pink,Measuring CupsBlack,Deluxe Can opener Sky Blue,Deluxe Can opener Bright Pink,Deluxe Can opener Black,Shears Sky Blue,Shears Bright Pink,Shears Black,Winged corkscrew PP - Sky Blue,Winged corkscrew PP - Bright Pink,Winged corkscrew PP - Black,8.5 X 11  Poly Cutting Board Sky Blue,8.5 X 11  Poly Cutting Board Bright Pink,8.5 X 11 Poly Cutting Board Black,Mixing Bowl Sky Blue,Mixing Bowl Bright Pink,Mixing Bowl Black,Plastic Colander Sky Blue,Plastic Colander Bright Pink,Plastic Colander Black,CDU need 3,Step fixture w/CDUs,Crocks- need 18,,,,,,,,,,,,Total,Description,Description,,8.5 X 11  Poly Cutting Board Sky Blue,8.5 X 11  Poly Cutting Board Bright Pink,8.5 X 11 Poly Cutting Board Grass Green,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANK,,,,,,
RETAIL,," $53,580.00 "," $42,864.00 "," $75,012.00 "," $32,148.00 "," $21,432.00 "," $42,864.00 "," $32,148.00 "," $21,432.00 "," $42,864.00 "," $32,148.00 "," $21,432.00 "," $42,864.00 "," $32,148.00 "," $32,148.00 "," $32,148.00 "," $64,296.00 "," $64,296.00 "," $64,296.00 "," $21,432.00 "," $21,432.00 "," $21,432.00 "," $85,728.00 "," $66,975.00 "," $53,580.00 "," $66,975.00 "," $112,518.00 "," $112,518.00 "," $128,592.00 "," $80,370.00 "," $80,370.00 "," $96,444.00 "," $64,296.00 "," $64,296.00 "," $80,370.00 ", $-   , $-   , $-   ," $125,020.00 "," $125,020.00 ", $-   ," $71,440.00 "," $71,440.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,300,368.00 ",RETAIL,RETAIL,, $-   , $-   , $-   , $-   
NET SALES AT BILLING,," $26,790.00 "," $21,432.00 "," $37,506.00 "," $16,074.00 "," $10,716.00 "," $21,432.00 "," $16,074.00 "," $10,716.00 "," $21,432.00 "," $16,074.00 "," $10,716.00 "," $21,432.00 "," $16,074.00 "," $16,074.00 "," $16,074.00 "," $32,148.00 "," $32,148.00 "," $32,148.00 "," $10,716.00 "," $10,716.00 "," $10,716.00 "," $42,864.00 "," $33,487.50 "," $26,790.00 "," $33,487.50 "," $56,259.00 "," $56,259.00 "," $64,296.00 "," $40,185.00 "," $40,185.00 "," $48,222.00 "," $32,148.00 "," $32,148.00 "," $40,185.00 ", $-   , $-   , $-   ," $62,510.00 "," $62,510.00 ", $-   ," $35,720.00 "," $35,720.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,150,184.00 ",NET SALES AT BILLING,NET SALES AT BILLING,, $-   , $-   , $-   , $-   
PMU,,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,#DIV/0!,#DIV/0!,#DIV/0!,50.00%,50.00%,#DIV/0!,50.00%,50.00%,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,50.00%,PMU,PMU,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROMO. DISCOUNT,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,PROMO. DISCOUNT,PROMO. DISCOUNT,0.00%, $-   , $-   , $-   , $-   
SERVICE,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,SERVICE,SERVICE,0.00%, $-   , $-   , $-   , $-   
MD FUND (ALL BUT CUT/CBD),5.00%," $1,339.50 "," $1,071.60 "," $1,875.30 ", $803.70 , $535.80 ," $1,071.60 ", $803.70 , $535.80 ," $1,071.60 ", $803.70 , $535.80 ," $1,071.60 ", $803.70 , $803.70 , $803.70 ," $1,607.40 "," $1,607.40 "," $1,607.40 ", $535.80 , $535.80 , $535.80 ," $2,143.20 "," $1,674.38 "," $1,339.50 "," $1,674.38 "," $2,812.95 "," $2,812.95 "," $3,214.80 "," $2,009.25 "," $2,009.25 "," $2,411.10 "," $1,607.40 "," $1,607.40 "," $2,009.25 ", $-   , $-   , $-   ," $3,125.50 "," $3,125.50 ", $-   ," $1,786.00 "," $1,786.00 ", $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $57,509.20 ",MD FUND,MD FUND (ALL BUT CUT/CBD),5.00%, $-   , $-   , $-   , $-   
FIXTURES (amortize over 2 years),0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,FIXTURES (amortize over 2 years),FIXTURES (amortize over 2 years),0.00%, $-   , $-   , $-   , $-   
REBATE-T&G (max at 3.5%),3.50%, $937.65 , $750.12 ," $1,312.71 ", $562.59 , $375.06 , $750.12 , $562.59 , $375.06 , $750.12 , $562.59 , $375.06 , $750.12 , $562.59 , $562.59 , $562.59 ," $1,125.18 "," $1,125.18 "," $1,125.18 ", $375.06 , $375.06 , $375.06 ," $1,500.24 "," $1,172.06 ", $937.65 ," $1,172.06 "," $1,969.07 "," $1,969.07 "," $2,250.36 "," $1,406.48 "," $1,406.48 "," $1,687.77 "," $1,125.18 "," $1,125.18 "," $1,406.48 ", $-   , $-   , $-   ," $2,187.85 "," $2,187.85 ", $-   ," $1,250.20 "," $1,250.20 ", $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $40,256.44 ",REBATE-T&G (max at 3.5%),REBATE-T&G (max at 3.5%),1.50%, $-   , $-   , $-   , $-   
Target Wedding,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,Target Wedding,Target Wedding,0.00%, $-   , $-   , $-   , $-   
ADVERTISING-T&G,0.75%, $200.93 , $160.74 , $281.30 , $120.56 , $80.37 , $160.74 , $120.56 , $80.37 , $160.74 , $120.56 , $80.37 , $160.74 , $120.56 , $120.56 , $120.56 , $241.11 , $241.11 , $241.11 , $80.37 , $80.37 , $80.37 , $321.48 , $251.16 , $200.93 , $251.16 , $421.94 , $421.94 , $482.22 , $301.39 , $301.39 , $361.67 , $241.11 , $241.11 , $301.39 , $-   , $-   , $-   , $468.83 , $468.83 , $-   , $267.90 , $267.90 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $8,626.38 ",ADVERTISING-T&G,ADVERTISING-T&G,1.25%, $-   , $-   , $-   , $-   
DEFECTIVE ALL.,2.00%, $535.80 , $428.64 , $750.12 , $321.48 , $214.32 , $428.64 , $321.48 , $214.32 , $428.64 , $321.48 , $214.32 , $428.64 , $321.48 , $321.48 , $321.48 , $642.96 , $642.96 , $642.96 , $214.32 , $214.32 , $214.32 , $857.28 , $669.75 , $535.80 , $669.75 ," $1,125.18 "," $1,125.18 "," $1,285.92 ", $803.70 , $803.70 , $964.44 , $642.96 , $642.96 , $803.70 , $-   , $-   , $-   ," $1,250.20 "," $1,250.20 ", $-   , $714.40 , $714.40 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $23,003.68 ",DEFECTIVE ALL.,DEFECTIVE ALL.,2.00%, $-   , $-   , $-   , $-   
COMPLIANCE,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,COMPLIANCE,COMPLIANCE,0.00%, $-   , $-   , $-   , $-   
REBATE-CUTLERY/CBDS,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,REBATE-CUTLERY/CBDS,REBATE-CUTLERY/CBDS,0.00%, $-   , $-   , $-   , $-   
